0,Apartment in Ioannina,Ivory Hut - Blue Allure Suite,2 beds,Jan 9 – 14,4.95,186,86
1,Apartment in Ioannina,Ivory Hut - Shade of Gray Suite,2 beds,Jan 15 – 20,4.83,120,77
2,Home in Ioannina,Cozy Central Courtyard Home (By The Lake),2 beds,Jan 9 – 14,4.9,228,41
3,Apartment in Ioannina,Cozy apartment between the lake and city center,2 beds,Jan 8 – 13,4.93,87,72
4,Apartment in Ioannina,Ioannina Candy Studio,2 beds,Jan 25 – Feb 1,4.89,91,41
5,Condo in Ioannina,Lovely apartment in Janina frog 2,1 bed,Jan 9 – 15,4.93,29,76
6,Home in Ioannina,Studio-Garsoniera in Ioannina,3 beds,Jan 10 – 16,4.77,148,36
7,Apartment in Ioannina,Rooftop Apartment with Garden in Ioannina,1 double bed,Jan 8 – 13,4.8,138,49
8,Apartment in Ioannina,Panoramic tarrace small studio,1 bed,Jan 16 – 21,4.82,273,41
9,Apartment in Ioannina,Black & Yellow Apartment at City Center,1 double bed,Jan 16 – 21,4.93,109,59
10,Loft in Ioannina,Loft overlooking Lake,2 beds,Jan 8 – 13,4.86,155,59
11,Condo in Ioannina,MIDTOWN FROG1 APARTMENT,1 bed,Jan 17 – 22,4.95,19,77
12,Treehouse in Ioannina,The Bird's Nest ! (Treehouse),2 beds,Feb 12 – 18,5.0,24,76
13,Condo in Ioannina,Wonderful studio in the heart of the city!!,1 double bed,Jan 8 – 13,4.91,103,72
14,Condo in Ioannina,Aelia Apartment 1 Ioannina,2 beds,Jan 24 – 29,New,0,63
15,Condo in Ioannina,KAITIS HOME,3 beds,Jan 13 – 19,4.92,38,44
16,Ranch in Ioannina,The Rancho Relaxo,2 beds,Mar 12 – 17,4.95,57,71
17,Condo in Ioannina,Luxury apartment in the center of Ioannina city,2 beds,Jan 15 – 20,4.86,69,60
18,Apartment in Ioannina,Elegant apartment in Ioannina,1 double bed,Jan 22 – 27,4.86,133,52
19,Condo in Ioannina,Littel studio,1 bed,Jan 7 – 12,New,0,86
20,Condo in Ioannina,Alyvia Central Apartment 1,2 beds,Jan 16 – 21,5.0,5,69
21,Apartment in Ioannina,Ivory Hut - Vibrant Suite,2 beds,Jan 21 – 26,4.94,235,78
22,Home in Ioannina,Studio-Studio in Ioannina  Ampelokipi,2 beds,Jan 11 – 16,4.79,313,36
23,Apartment in Ioannina,Christine's Loft,2 beds,Jan 12 – 17,5.0,24,53
24,Condo in Ioannina,Central studio,2 single beds,Feb 18 – 23,4.8,25,35
25,Condo in Ioannina,Room B8,2 beds,Jan 15 – 20,4.93,15,54
26,Condo in Ioannina,Beautiful downtown studio!,1 bed,Jan 9 – 14,4.6,10,52
27,Apartment in Ioannina,Sunny apartment-Apartment45m2 in the square of Pargis,2 beds,Jan 30 – Feb 4,4.9,58,50
28,Loft in Ioannina,View lake attic in Ioannina,2 beds,Jan 9 – 14,4.82,142,52
29,Apartment in Ioannina,Rustic & Cozy Studio in Historical City Center,1 king bed,Apr 2 – 7,4.51,129,66
30,Condo in Ioannina,Lozia Studio-Chic DT Studio with Free parking,1 double bed,Jan 8 – 13,5.0,3,73
31,Condo in Ioannina,Eleana Convenient Studio Ampelokipi  Chatzikosta.,2 beds,Jan 10 – 15,4.92,110,38
32,Chalet in Ioannina,The Happy Cottage,3 beds,Jan 31 – Feb 7,4.95,135,53
33,Apartment in Ioannina,Modern and Newly Built Apartment,2 beds,Jan 8 – 13,4.96,114,54
34,Condo in Ioannina,Relaxing 2 Bdr. Apartment,3 beds,Jan 15 – 20,4.79,29,47
35,Apartment in Ιωαννινα,Minimal Studio in Ioannina,1 double bed,Jan 24 – 30,4.75,179,30
36,Apartment in Ioannina,MA2 Unique Renovated City Center Studio,1 queen bed,Jan 19 – 24,4.85,112,47
37,Apartment in Perama,Peace Studio,2 beds,Jan 8 – 13,New,0,50
38,Apartment in Ioannina,Ioannina Center Luxury Suite,4 beds,Jan 22 – 27,New,0,62
39,Condo in Ioannina,MyPLACE Premium Apartments,1 bed,Jan 8 – 13,New,0,72
40,Home in Ioannina,Cave House near by The Lake,3 beds,Jan 21 – 26,4.86,121,77
41,Apartment in Ioannina,Valmo's Place 3,2 beds,Jan 9 – 14,New,0,44
42,Home in Lingiades,Lake view,2 beds,Jan 9 – 14,4.92,86,76
43,Condo in Ioannina,Luxury Loft Kalu Tsesme B,1 bed,Jan 8 – 13,4.67,3,56
44,Loft in Ioannina,Central Attic - Mary's Dream Home,1 bed,Jan 15 – 20,5.0,41,63
45,Apartment in Ioannina,Agora Boutique Apartments Ioannina,1 bed,Jan 22 – 27,4.78,55,59
46,Apartment in Anatoli,Modern and spacious studio,2 beds,Jan 8 – 14,4.77,61,45
47,Condo in Ioannina,Apartment with a view  city center,1 bed,Jan 9 – 16,4.67,15,50
48,Apartment in Ioannina,Studio 'Pat house' in downtown Ioannina,2 beds,Jan 16 – 21,4.89,116,47
49,Home in Ioannina,Little house with private parking and garden,1 double bed,Jan 8 – 13,4.97,34,71
50,Apartment in Ioannina,Luxury apartment with outdoor hot tub,2 beds,Jan 22 – 27,5.0,3,154
51,Condo in Ioannina,Ioannina Hug a cozy apartment in the center.,2 beds,Jan 8 – 13,5.0,11,83
52,Cabin in Ιωάννινα,Chalet Klimatia - Beautiful wooden duplex with fireplace,3 beds,Jan 15 – 20,5.0,11,83
53,Apartment in Ioannina,Flying bed appartment (A2),4 beds,Jan 10 – 15,4.73,81,72
54,Condo in Ioannina,Welcoming apartment in the center of the Yuanines,2 beds,Jan 8 – 13,4.77,30,73
55,Condo in Ioannina,Aelia Apartment 2 Ioannina,2 beds,Jan 8 – 14,New,0,60
56,Apartment in Neochoropoulo,Studio by the University and the Hospital,1 double bed,Jan 10 – 16,4.94,31,39
57,Apartment in Ioannina,Industrial Black & White Studio Historical Center,1 king bed,Mar 26 – 31,4.59,68,62
58,Condo in Ioannina,Spacious studio with garden and city view.,1 double bed,Jan 9 – 14,4.79,58,66
59,Apartment in Ioannina,Center,1 bed,Feb 8 – 13,4.67,3,59
60,Apartment in Ioannina,Comfy & stylish apt in Ioannina with fire place,1 queen bed,Jan 15 – 20,5.0,24,87
61,Home in Kato Marmara,Sunny studio with great view and yard!!!,1 bed,Jan 8 – 13,5.0,10,71
62,Condo in Ioannina,Luxurious maisonette in Ioannina,4 beds,Feb 12 – 17,4.96,53,107
63,Condo in Ioannina,Luxury Loft Kalu Tsesme,2 beds,Jan 21 – 28,4.86,22,55
64,Apartment in Ioannina,Lake view apartment,2 beds,Jan 21 – 26,4.91,200,69
65,Condo in Ioannina,Alexandra 2 Apartment Ioannina,4 beds,Jan 8 – 13,4.87,30,75
66,Apartment in Ioannina,Valmo's Place 2,3 beds,Jan 8 – 15,4.75,4,53
67,Condo in Ioannina,Lydia's City View Apartment,2 beds,Jan 8 – 13,4.75,4,53
68,Apartment in Ioannina,VALMO'S PLACE,2 beds,Jan 9 – 14,4.82,91,50
69,Condo in Ioannina,Brosi -Apartment 35m2 in the square of Pargis,2 beds,Feb 10 – 15,4.92,100,47
70,Apartment in Ιωαννινα,Modern and beautiful apartment in Ioannina,2 double beds,Feb 12 – 17,4.85,148,57
71,Apartment in Ioannina,QUIET CONDOMINIUM,2 beds,Jan 10 – 15,New,0,55
72,Apartment in Ioannina,Ioannina In -Central & modern apt 36m2 / lake view,2 beds,Jan 19 – 24,4.98,64,67
73,Condo in Ioannina,MadaM 2 - elegant  cozy  comfortable  central,2 beds,Jan 11 – 16,4.8,5,71
74,Apartment in Ioannina,City Center Flat - In the most central spot,2 single beds,Jan 8 – 13,4.88,112,69
75,Condo in Ioannina,BohoII (Small apartment in the center of the city),1 double bed,Jan 8 – 13,4.88,8,57
76,Apartment in Ioannina,New Cozy Home at the Center,1 bed,Jan 19 – 24,New,0,51
77,Home in Ioannina,Evrianthi sleeping accommodation,3 beds,Jan 9 – 14,New,0,73
78,Home in Katsikas,Spacious apartment in Ioannina  Katsikas.,4 beds,Jan 8 – 13,4.98,40,52
79,Apartment in Ioannina,Plane Tree Luxury Suites,2 beds,Jan 10 – 15,New,0,99
80,Apartment in Anatoli,OMNI HOUSE,1 queen bed,Jan 8 – 13,4.96,28,116
81,Home in Ioannina,Olivia's House Ioannina,2 beds,Jan 8 – 15,New,0,78
82,Condo in Kardamitsia,Lovely  cosy loft apartment,2 beds,Jan 8 – 13,5.0,5,56
83,Apartment in Ioannina,sweet home ioannina 2,2 beds,Jan 10 – 15,5.0,5,56
84,Condo in Ioannina,City Center Apartment,4 beds,Jan 8 – 13,5.0,6,80
85,Condo in Ioannina,Modern  100m2 central apartment with parking.,2 beds,Jan 11 – 16,4.95,37,94
86,Condo in Ioannina,Urbanica -Arrondissement of 40m2 in Parroquia Parroquia,1 bed,Feb 5 – 10,5.0,15,39
87,Guesthouse in Katsikas,A&B My Sweet Home 1,2 beds,Jan 10 – 15,4.9,20,42
88,Cabin in Exochi,Ioannina  wooden detached house.,2 beds,Jan 8 – 13,4.93,120,77
89,Apartment in Ioannina,central square apartment,1 queen bed,Feb 4 – 9,5.0,54,58
90,Condo in Anatoli,sweet home ioannina,2 beds,Jan 8 – 13,4.78,23,81
91,Condo in Ioannina,Dwell house,2 beds,Jan 16 – 23,New,0,80
92,Apartment in Ioannina,Ioannina's Sweet studio,1 double bed,Jan 10 – 15,4.48,85,40
93,Condo in Ioannina,Cozy apartment near the hospital,1 bed,Jan 25 – 30,4.73,11,43
94,Condo in Ioannina,CiTY NEST,4 beds,Jan 7 – 12,New,0,157
95,Apartment in Ioannina,Paris's Central Studio in Ioannina.,2 beds,Jan 16 – 21,4.94,157,51
96,Chalet in Episkopiko,Chalet Episcopic Janina. Wooden house on property.,2 beds,Jan 8 – 13,New,0,83
97,Apartment in Ioannina,LITTLE COCOON,1 double bed,Feb 9 – 14,4.83,69,31
98,Apartment in Ioannina,''Olive House'' a fully renovated studio,1 bed,Feb 3 – 8,5.0,75,47
99,Apartment in Ioannina,Beautiful Studio Downtown Ioannina,1 bed,Jan 17 – 22,4.92,87,49
100,Tiny home in Ioannina,Very central renovated studio,1 bed,Jan 9 – 14,4.84,45,71
101,Chalet in Demati,Zagori traditional house  Jacuzzi and amazing view,3 beds,Jan 8 – 13,4.93,121,135
102,Apartment in Velissarios,Dream Apartment Ioannina,3 beds,Jan 8 – 13,New,0,57
103,Condo in GR,Elegant studio and yard,1 double bed,Jan 8 – 13,4.97,36,46
104,Apartment in Ioannina,We’ll designed Apartment in Ioannina,1 double bed,May 1 – 6,4.77,79,40
105,Guesthouse in Katsikas,A&B My Sweet Home 2,2 beds,Jan 10 – 15,5.0,32,42
106,Loft in Ioannina,Central Luxury Romantic Suite,1 bed,Jan 17 – 22,4.75,4,87
107,Villa in Ligkiades,Ktima Papadimitriou,2 beds,Jan 14 – 19,4.98,48,147
108,Apartment in Ioannina,Comfy apartment 70 sqm close to downtown,2 double beds,Jan 13 – 18,4.89,101,47
109,Condo in Anatoli,Lovely and comfortable apartment .,2 beds,Jan 7 – 12,5.0,12,97
110,Condo in Kato Neochoropoulo,Studio apartment of 29 sqm modern and spacious,1 bed,Jan 8 – 13,New,0,44
111,Condo in Pedini,Apartment-STUDIO.,1 double bed,Jan 8 – 13,4.9,10,60
112,Condo in Ioannina,Alyvia Central Apartment 2,2 beds,Jan 15 – 22,4.6,5,60
113,Private room in Ioannina,Sunny Retreat with a Garden-Terrace_Private Room,1 double bed,Jan 9 – 14,4.85,41,51
114,Apartment in Ioannina,Christine's Golden Suite at Ioannina's Center,3 beds,Jan 9 – 14,4.95,76,117
115,Loft in Ioannina,Cosy Apartment in City Centre,2 beds,Jan 15 – 20,4.88,41,71
116,Apartment in Ioannina,Agora Boutique Apartments Ioannina,2 double beds,Jan 22 – 28,4.5,26,59
117,Apartment in Anatoli,Σοφίτα  Ευφροσύνη,2 beds,Jan 8 – 13,New,0,69
118,Apartment in Ioannina,Saki Apartment,2 beds,Jan 8 – 13,5.0,3,96
119,Apartment in Katsikas,Beautiful Minimalist Loft With A Great Lake View,2 beds,Jan 8 – 14,4.94,34,73
120,Apartment in Ioannina,San Francisco Loft No1,2 beds,Jan 8 – 13,New,0,148
121,Condo in Ioannina,MadaM 1 - elegant  cozy  comfortable  central,2 beds,Jan 20 – 25,4.88,8,62
122,Apartment in Ioannina,Studio Ionina,1 bed,Jan 16 – 21,4.83,23,54
123,Condo in Ioannina,Central apartment with fireplace and private parking,3 beds,Jan 8 – 13,4.83,23,54
124,Condo in Ioannina,Filoxenia Luxury Home Ioannina,3 beds,Jan 8 – 14,5.0,15,148
125,Condo in Velissarios,Unique Apartment Ioannina,2 beds,Jan 8 – 13,New,0,64
126,Apartment in Anatoli,Spacious apartment in Ioannina  Anatoli,2 single beds,Jan 13 – 18,4.94,172,44
127,Home in Ioannina,Homes near the lake with parking,3 beds,Jan 18 – 23,4.94,269,71
128,Home in Ioannina,The Traditional Stone House!,3 beds,Mar 1 – 6,4.9,187,42
129,Apartment in Ιωάννινα,COSY APPARTMENT NEAR THE CENTRE,2 beds,Jan 8 – 15,4.89,27,106
130,Condo in Kato Marmara,Modern apartment with city view,1 bed,Jan 8 – 13,5.0,5,73
131,Home in Anatoli,Cozy Modern Studio,3 beds,Jan 12 – 17,4.9,73,45
132,Home in Anatoli,Spacious maisonette in Ioannina,1 double bed,Jan 12 – 17,4.85,129,50
133,Home in Koutselio,Ioannina Cozy Retreat,2 beds,Jan 8 – 13,4.88,43,65
134,Apartment in Rodotopi,Eugenia Apartment,5 beds,Jan 15 – 20,4.98,126,49
135,Apartment in Ioannina,Boutique at Historic Centrum,1 queen bed,Jan 8 – 13,5.0,9,92
