filoxenia-filoxenia,Pansion Filoxenia Apartments & Studios,8.6,Fabulous,369 reviews,5 nights, 2 adults,€ 950,Tsoukaladhes,https://www.booking.com/hotel/gr/filoxenia-filoxenia.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=31757707_329360297_4_0_0&highlighted_blocks=31757707_329360297_4_0_0&matching_block_id=31757707_329360297_4_0_0&sr_pri_blocks=31757707_329360297_4_0_0__95000&from=searchresults#hotelTmpl
poseidonio-a,Hotel Niras,8.7,Fabulous,284 reviews,5 nights, 2 adults,€ 503,Nydri,https://www.booking.com/hotel/gr/poseidonio-a.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=38547603_365323264_0_2_0&highlighted_blocks=38547603_365323264_0_2_0&matching_block_id=38547603_365323264_0_2_0&sr_pri_blocks=38547603_365323264_0_2_0__50250&from=searchresults#hotelTmpl
panoramic-view-leukada,Panoramic View,9.0,Superb,221 reviews,5 nights, 2 adults,€ 356,Kalamitsi,https://www.booking.com/hotel/gr/panoramic-view-leukada.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=735362001_327829530_2_0_0&highlighted_blocks=735362001_327829530_2_0_0&matching_block_id=735362001_327829530_2_0_0&sr_pri_blocks=735362001_327829530_2_0_0__35625&from=searchresults#hotelTmpl
zephyros-rooms-and-apartments,Zephyros Rooms And Apartments,9.7,Exceptional,112 reviews,5 nights, 2 adults,€ 285,Drymon,https://www.booking.com/hotel/gr/zephyros-rooms-and-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=223396903_329629454_0_2_0&highlighted_blocks=223396903_329629454_0_2_0&matching_block_id=223396903_329629454_0_2_0&sr_pri_blocks=223396903_329629454_0_2_0__28500&from=searchresults#hotelTmpl
agios-nikitas,Hotel Agios Nikitas,8.5,Very good,214 reviews,5 nights, 2 adults,€ 763,Ayios Nikitas,https://www.booking.com/hotel/gr/agios-nikitas.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=37742601_90178537_2_1_0&highlighted_blocks=37742601_90178537_2_1_0&matching_block_id=37742601_90178537_2_1_0&sr_pri_blocks=37742601_90178537_2_1_0__76250&from=searchresults#hotelTmpl
agios-nikitas-resort-villas,Agios Nikitas Resort Villas,9.4,Superb,75 reviews,5 nights, 2 adults,"€ 1,520",Ayios Nikitas,https://www.booking.com/hotel/gr/agios-nikitas-resort-villas.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=19044705_360710175_2_0_0&highlighted_blocks=19044705_360710175_2_0_0&matching_block_id=19044705_360710175_2_0_0&sr_pri_blocks=19044705_360710175_2_0_0__152000&from=searchresults#hotelTmpl
ble-on-blue,Ble on Blue,9.7,Exceptional,78 reviews,5 nights, 2 adults,"€ 1,100",Athanion,https://www.booking.com/hotel/gr/ble-on-blue.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=476218904_364631590_4_0_0&highlighted_blocks=476218904_364631590_4_0_0&matching_block_id=476218904_364631590_4_0_0&sr_pri_blocks=476218904_364631590_4_0_0__110000&from=searchresults#hotelTmpl
natasa-property,Natasa Studios,9.4,Superb,50 reviews,5 nights, 2 adults,€ 478,Mikros Gialos,https://www.booking.com/hotel/gr/natasa-property.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=46770802_329738354_3_1_0&highlighted_blocks=46770802_329738354_3_1_0&matching_block_id=46770802_329738354_3_1_0&sr_pri_blocks=46770802_329738354_3_1_0__47750&from=searchresults#hotelTmpl
irene-studios-perigiali,Irene Studios,9.0,Superb,68 reviews,5 nights, 2 adults,€ 998,Nydri,https://www.booking.com/hotel/gr/irene-studios-perigiali.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=609268003_241892409_4_0_0&highlighted_blocks=609268003_241892409_4_0_0&matching_block_id=609268003_241892409_4_0_0&sr_pri_blocks=609268003_241892409_4_0_0__99750&from=searchresults#hotelTmpl
rock-garden-villa,Rock Garden Villa,9.8,Exceptional,16 reviews,5 nights, 2 adults,"€ 1,473",Marantochori,https://www.booking.com/hotel/gr/rock-garden-villa.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Atishp4GwAIB0gIkMDM3OTdjNzUtYzZmZS00ZGYyLThmOTctZjg2YmExZTM0M2Vi2AIG4AIB&sid=7653fd0ad7a5ac380149dda7f5677a12&aid=304142&ucfs=1&arphpl=1&checkin=2023-08-01&checkout=2023-08-06&dest_id=2805&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=055b0d87d221036c&srepoch=1673747728&all_sr_blocks=641359801_273408769_0_0_0&highlighted_blocks=641359801_273408769_0_0_0&matching_block_id=641359801_273408769_0_0_0&sr_pri_blocks=641359801_273408769_0_0_0__147250&from=searchresults#hotelTmpl
