Panorama Sidari,9.0,nice views  clean  great staff,,Gabriella,United Kingdom,July 2022
Panorama Sidari,8.0,Tasty meals  kind service  attractive price in all-inclusive option  no extra fee for air condition  free transport from main building to rooms  lifeguard  well organized entertainment in the evenings  rooms at the top of the hill offer sea view  in a walking distance shops  pubs  sea  beach and Canal d'Amour,Ascetic and old-fashioned room design  a few types of insects in the room (mostly not dangerous  except from mosquitos)  hotel located on a hill - either you wait for free transport or climb the road yourself  Ouzo wasn't the highest quality  safe with numeric keyboard instead of a huge key would be welcomed,Piotr,Poland,October 2022
Panorama Sidari,9.0,Everything was great (except one thing)  had an awsome time.,The bed. Its the one thing that was questionable. Its very squeaky and uncomfortable after a long sleep.,Sinka,Hungary,September 2022
Panorama Sidari,10,We almost don’t want to give a great review as we want to keep this gem of a hotel to ourselves.  The staff work tirelessly to look after every guest and are happy and welcoming and very helpful. As we arrived at around 2am  we were provided with a light snack ready and waiting for us in our fridge in our room which I felt was a really thoughtful touch. Everywhere was spotless and the grounds were excellently maintained.  The food was of a very high quality with plenty of variety every day. Dining room staff were attentive and prompt at removing used plates etc from the table.  Rooms are set out in apartment blocks on the hill side. The walk up is quite steep (ours was the very top) but the hotel provide rides up to the top on a golf cart which runs approx every 5 minutes and is a real leg saver!  our room was cleaned very thoroughly every day (except Sunday) by a lovely lady called Efi. Beds were changed every other day  but new towels daily.,I struggle to think of anything. Perhaps maybe I’d have been tempted into the beautiful pool if it had been heated. However  as we chose to visit in early October  it’s not a surprise that it was cold and I’m sure during the height of the summer it’s very warm.,Michelle,United Kingdom,October 2022
Panorama Sidari,7.0,Size of the room is very nice  our room was huge with two levels . Bathroom nice and clean  Beautiful view on the sea and mountains Close to the beach restaurants shops and canal d’amour delicious food  The best Animation Team ever thanks to them you can’t be bored lots of fun plays and amazing Fire Show by Martin  Pelo and Nedko ! Room service is perfect  Staff helpful and very friendly  .,room was Cold at night   AC is a bit noisy and it takes ages to get a nice temperature.  No drinking water in the fridge and no tea or coffee  No roof on the balcony /when it’s raining all water stay on the balcony and it’s not possible to open balcony doors because water come inside .  Beds could be more comfortable  food was delicious people was very happy with food but cold be some more options for vegans,Patrycjusz,United Kingdom,September 2022
Panorama Sidari,9.0,The food was awesome! The staff was very helpful with a big smile on their faces every day! The pool was very clean and the bar a 10+,Unfortunately the rooms are old style and they need a full refresh to be up to date! (furniture  bathroom accessories  etc).,Sorin,Romania,September 2022
Panorama Sidari,10,Location is great for view above sea! Hotel providing inside transport. The food is amazingly tasty! The stuff is very social!,Too noisy in the evening.,Yavor,Bulgaria,September 2022
Panorama Sidari,10,It was really great holiday here. The location of the hotel is perfect because it is not far from the beach and the main street. The staff at the hotel is very kind and friendly. The food was amazing  many types of food  we never had a problem choosing and it tasted great. At the pool bar  they offer a variety of drinks throughout the day. They always served us right away. We are very happy that we chose this hotel for our vacation. We recommend it to everyone and will definitely come back.,,Miriam,Slovakia,September 2022
Panorama Sidari,9.0,View and terrace  food  spacious room  Internet  stuff and overall organization,a bit outdated furniture and equipment and quality of bed mattress,Kosta,Serbia,September 2022
Panorama Sidari,10,Entertainment team.,,Daniela,Bulgaria,September 2022
Panorama Sidari,8.0,The food was excellent. Many varieties  for everyone's taste. Simply brilliant! All inclusive is really well improved! At the pool bar you can serve several drinks and snacks. Thumbs up for the woman with the pancakes and the others collegues. I really appreciated the service with beach towels. You can take everyday clean towels with 10 euro and after you return it you have your money back (literally  they are free).  I also sugest that a laundry service would be very helpfull.,The size of our room was good but it could be better  it is a little bit old. The bathroom also with aspects of oldness. Also  the buildings with rooms are placed upwards  in the back of hotel and you have to walk on yourself sometimes.,Marian,Romania,August 2022
Panorama Sidari,9.0,The place was amazing  for a three star rated hotel is excellent,We had a bit of hiccup first day but it was solved quickly,Szidonia,United Kingdom,August 2022
Panorama Sidari,8.0,The food quality was excellent.  Big size room and nice view.,The quality of the bed was awful.  Low comfort. They should replace the matrece.  Bad smell in the room .,Florin,Romania,August 2022
Panorama Sidari,9.0,The employees were extremely polite and nice  and made us feel welcome. The all inclusive had great value/price  very tasty dishes throughout the day. The pool area was cool and the hotel was quite close to the Sidari beach and the center.,The beds could be more comfortable.,Zsófia,Hungary,August 2022
Panorama Sidari,8.0,Staff were so friendly  all of them. Great view from balcony. Large pool and very clean. Good range of food options at every meal. The buggy system was great as some of our family had/have mobility issues. Main resort a short walk away  as was the beach.,The entertainment staff tried hard but some of the evening shows were pretty poor (though some (fire show  magic show) were excellent so a mixed bag. Beer seemed very weak  you could tell the difference when you had a beer down in the resort.,Rob,United Kingdom,August 2022
