casa-d-amore,Casa D' Amore,,,,5 nights, 2 adults,€ 375,Zakynthos Town,https://www.booking.com/hotel/gr/casa-d-amore.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=947341201_367357648_2_0_0&highlighted_blocks=947341201_367357648_2_0_0&matching_block_id=947341201_367357648_2_0_0&sr_pri_blocks=947341201_367357648_2_0_0__37525&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
kipoi-apartments,KIPOI APARTMENTS,8.4,Very good,17 reviews,5 nights, 2 adults,€ 428,Zakynthos Town,https://www.booking.com/hotel/gr/kipoi-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=681318103_277972424_2_0_0&highlighted_blocks=681318103_277972424_2_0_0&matching_block_id=681318103_277972424_2_0_0&sr_pri_blocks=681318103_277972424_2_0_0__42750&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
avalon-zante-palace,Avalon Palace Hotel,8.2,Very good,386 reviews,5 nights, 2 adults,-1,Zakynthos Town,https://www.booking.com/hotel/gr/avalon-zante-palace.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=0_0_2_1_0&highlighted_blocks=0_0_2_1_0&matching_block_id=0_0_2_1_0&sr_pri_blocks=0_0_2_1_0__61440&from_beach_sr=1&tpi_r=1&from=searchresults#hotelTmpl
mavra-elegant-apartments,Mavra Elegant Apartments,8.7,Fabulous,98 reviews,5 nights, 2 adults,€ 356,Zakynthos Town,https://www.booking.com/hotel/gr/mavra-elegant-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=711273505_297958606_2_0_0&highlighted_blocks=711273505_297958606_2_0_0&matching_block_id=711273505_297958606_2_0_0&sr_pri_blocks=711273505_297958606_2_0_0__35625&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
phoenix-apartments-i,Phoenix Apartments - B2 & B3,9.6,Exceptional,5 reviews,5 nights, 2 adults,€ 534,Zakynthos Town,https://www.booking.com/hotel/gr/phoenix-apartments-i.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=730247302_342411596_2_0_0&highlighted_blocks=730247302_342411596_2_0_0&matching_block_id=730247302_342411596_2_0_0&sr_pri_blocks=730247302_342411596_2_0_0__53350&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
shellona-rooms-amp-apartments,Shellona Rooms & Apartments,8.8,Fabulous,256 reviews,5 nights, 2 adults,€ 553,Zakynthos Town,https://www.booking.com/hotel/gr/shellona-rooms-amp-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=600663801_235517758_2_1_0&highlighted_blocks=600663801_235517758_2_1_0&matching_block_id=600663801_235517758_2_1_0&sr_pri_blocks=600663801_235517758_2_1_0__55250&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
eolia-apartment,Eolia Apartment,9.5,Exceptional,12 reviews,5 nights, 2 adults,€ 870,Zakynthos Town,https://www.booking.com/hotel/gr/eolia-apartment.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=449249701_342261402_2_0_0&highlighted_blocks=449249701_342261402_2_0_0&matching_block_id=449249701_342261402_2_0_0&sr_pri_blocks=449249701_342261402_2_0_0__86950&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
agios-pavlos-corner-vacation-house-zakinthos-zakunthos,Agios Pavlos Corner Vacation House Zakinthos,9.9,Exceptional,14 reviews,5 nights, 2 adults,€ 466,Zakynthos Town,https://www.booking.com/hotel/gr/agios-pavlos-corner-vacation-house-zakinthos-zakunthos.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=836102001_349097392_2_0_0&highlighted_blocks=836102001_349097392_2_0_0&matching_block_id=836102001_349097392_2_0_0&sr_pri_blocks=836102001_349097392_2_0_0__46598&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
spacious-loft-at-xenios-avlais,Spacious Loft at Xenios Avlais,9.2,Superb,6 reviews,5 nights, 2 adults,€ 405,Zakynthos Town,https://www.booking.com/hotel/gr/spacious-loft-at-xenios-avlais.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=738633701_350349287_2_0_0&highlighted_blocks=738633701_350349287_2_0_0&matching_block_id=738633701_350349287_2_0_0&sr_pri_blocks=738633701_350349287_2_0_0__40500&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
phoenix-zakynthos-town,Phoenix Hotel,8.7,Fabulous,813 reviews,5 nights, 2 adults,€ 563,Zakynthos Town,https://www.booking.com/hotel/gr/phoenix-zakynthos-town.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=-831270&dest_type=city&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=cd7f35cdff9b031b&srepoch=1674286748&all_sr_blocks=70640501_88563152_2_1_0&highlighted_blocks=70640501_88563152_2_1_0&matching_block_id=70640501_88563152_2_1_0&sr_pri_blocks=70640501_88563152_2_1_0__56325&from_beach_sr=1&tpi_r=2&from=searchresults#hotelTmpl
