amarylis-amoudi,Amarylis Beachfront Studios,8.8,Fabulous,149 reviews,5 nights, 2 adults,€ 400,Amoudi,https://www.booking.com/hotel/gr/amarylis-amoudi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=1&hapos=1&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=78090007_366037664_4_1_0&highlighted_blocks=78090007_366037664_4_1_0&matching_block_id=78090007_366037664_4_1_0&sr_pri_blocks=78090007_366037664_4_1_0__40000&tpi_r=2&from=searchresults&map_fdco=1#hotelTmpl
zante-calinica-planos,Zante Calinica Hotel,8.6,Fabulous,342 reviews,5 nights, 2 adults,-1,Tsilivi,https://www.booking.com/hotel/gr/zante-calinica-planos.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=2&hapos=2&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=240348206_0_2_1_0&highlighted_blocks=240348206_0_2_1_0&matching_block_id=240348206_0_2_1_0&sr_pri_blocks=240348206_0_2_1_0__63795&tpi_r=1&from=searchresults&map_fdco=1#hotelTmpl
exensian-resort,Exensian Villas & Suites,9.8,Exceptional,83 reviews,5 nights, 2 adults,"€ 3,250",Marathias,https://www.booking.com/hotel/gr/exensian-resort.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=3&hapos=3&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=24461001_88571606_6_0_0&highlighted_blocks=24461001_88571606_6_0_0&matching_block_id=24461001_88571606_6_0_0&sr_pri_blocks=24461001_88571606_6_0_0__325000&tpi_r=2&from=searchresults&map_fdco=1#hotelTmpl
ipsi-ii-iiii,Stefania Apartments,9.1,Superb,172 reviews,5 nights, 2 adults,€ 943,Kipseli,https://www.booking.com/hotel/gr/ipsi-ii-iiii.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=4&hapos=4&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=32830805_89009815_2_1_0&highlighted_blocks=32830805_89009815_2_1_0&matching_block_id=32830805_89009815_2_1_0&sr_pri_blocks=32830805_89009815_2_1_0__94300&tpi_r=2&from=searchresults&map_fdco=1#hotelTmpl
natalie,Natalie Hotel,7.9,Good,75 reviews,5 nights, 2 adults,€ 560,Laganas,https://www.booking.com/hotel/gr/natalie.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=5&hapos=5&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=134953402_86401829_0_41_0&highlighted_blocks=134953402_86401829_0_41_0&matching_block_id=134953402_86401829_0_41_0&sr_pri_blocks=134953402_86401829_0_41_0__56000&tpi_r=2&from=searchresults&map_fdco=1#hotelTmpl
caretta-beach-kalamaki,Caretta Beach Hotel & Waterpark,7.9,Good,152 reviews,5 nights, 2 adults,€ 857,Kalamaki,https://www.booking.com/hotel/gr/caretta-beach-kalamaki.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=6&hapos=6&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=485400002_159088635_2_85_0&highlighted_blocks=485400002_159088635_2_85_0&matching_block_id=485400002_159088635_2_85_0&sr_pri_blocks=485400002_159088635_2_85_0__85650&tpi_r=2&from=searchresults&map_fdco=1#hotelTmpl
z-for-zante-villas,Adorno di Zante,9.3,Superb,164 reviews,5 nights, 2 adults,€ 603,Lithakia,https://www.booking.com/hotel/gr/z-for-zante-villas.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=7&hapos=7&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=370551816_343571476_2_2_0&highlighted_blocks=370551816_343571476_2_2_0&matching_block_id=370551816_343571476_2_2_0&sr_pri_blocks=370551816_343571476_2_2_0__60250&tpi_r=2&from=searchresults&map_fdco=1#hotelTmpl
razis-apartments,Razis Apartments,9.0,Superb,128 reviews,5 nights, 2 adults,€ 529,Tsilivi,https://www.booking.com/hotel/gr/razis-apartments.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=8&hapos=8&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=28563103_88567992_4_0_0&highlighted_blocks=28563103_88567992_4_0_0&matching_block_id=28563103_88567992_4_0_0&sr_pri_blocks=28563103_88567992_4_0_0__52900&tpi_r=2&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl
calypso-studios-amoudi,Calypso Studios,9.4,Superb,68 reviews,5 nights, 2 adults,€ 343,Amoudi,https://www.booking.com/hotel/gr/calypso-studios-amoudi.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=9&hapos=9&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=48412301_88571090_2_0_0&highlighted_blocks=48412301_88571090_2_0_0&matching_block_id=48412301_88571090_2_0_0&sr_pri_blocks=48412301_88571090_2_0_0__34250&tpi_r=2&from=searchresults&map_fdco=1#hotelTmpl
elegance-luxury-executive-suites,Elegance Luxury Executive Suites - Adults Only,8.9,Fabulous,324 reviews,5 nights, 2 adults,-1,Tragaki,https://www.booking.com/hotel/gr/elegance-luxury-executive-suites.en-gb.html?label=gen173nr-1FCAEoggI46AdIM1gEaFyIAQGYAQm4AQfIAQzYAQHoAQH4AQuIAgGoAgO4Aunvjp4GwAIB0gIkNWE0NWYxMTEtODAzMS00OTZmLTg4MzAtZWYzNjM1ZDZlOWFh2AIG4AIB&sid=b8ea07e999a05e717bd0890acdbef409&aid=304142&ucfs=1&arphpl=1&checkin=2023-07-01&checkout=2023-07-06&dest_id=1663&dest_type=region&group_adults=2&req_adults=2&no_rooms=1&group_children=0&req_children=0&hpos=10&hapos=10&sr_order=popularity&srpvid=2c843b6af7ec0029&srepoch=1673771223&all_sr_blocks=104404703_0_2_1_0&highlighted_blocks=104404703_0_2_1_0&matching_block_id=104404703_0_2_1_0&sr_pri_blocks=104404703_0_2_1_0__116750&tpi_r=1&from_sustainable_property_sr=1&from=searchresults&map_fdco=1#hotelTmpl
