"September 27, 2022",5.0,Incredible Sights!,We took the walk from Aeleos Beach Resort the Achilleion late one afternoon knowing that the museum was partially closed but still wanted to see what remained open. Its a difficult trek on foot actually so wear suitable shoes if you are walking there. Once there it is clear that there is substantial work going on to the property and that there is only a limited view of the gardens available. As a huge fan of Greek mythology i was disappointed but knew already that there was limited access. The gardens themselves are pretty and the view of Corfu town and the coast is incredible! Literally something from a Bond film. The two major statues of Achilles are actually much more impressive in person in both size and detail. I would love to return here once it reopens fully.
"September 27, 2022",3.0,Major renovation underway,"Much appreciated by German speakers due to this being built on behalf of “Sissy” of the Austro Hungarian empire, who has taken on a mythical reputation, ending in her demise in Geneva. The building is undergoing total renovation, presumably having been neglected for a sustained period. The only bit open is part of the modest garden. A few statues have been renovated. Parking along the street. Entrance 5 euros."
"September 25, 2022",3.0,"Not now, maybe later","Extended re-furbishing works are in progress, so interior of the palace is not opened for visitors and most of outdoors exhibits are also surrounded by scaffolding. Probably in 2023 or even later the place would look totally different than now. Gorgeous view of the surrounding landscape at the end of the garden (towards the sea)."
"September 19, 2022",3.0,We have to come back when it is re-opened,"The interior is not accessible due to refurbishing works, which also affect the exterior. The main garden is lovely."
"September 7, 2022",3.0,Palace visit,"It was OK, the Palace is being refurbished at present so you can only go in the gardens. Fabulous views. It was really busy while we were there. Worth a visit at €5 per person."
"August 18, 2022",2.0,Abandoned,So abandoned that is so pity.. I have visited some years ago and now is in worse condition:-( So pity
"August 18, 2022",3.0,15 min walk outdoor,Nice history and wonderful location. Only 2 stars as the interiors are under complex restoration work with a hand of people ( no more agitation to conclude the work soon). There are not provided info about the location and no curator in place. They can do more at that location. Tickets are expensive for just outdoor walking.
"July 23, 2022",5.0,Cool place,Amazing garden with fantastic views.only the museum it was at under construction.Cool pictures and Achileon it's my favorite place.
"July 13, 2022",3.0,"Lovely place, but take care of planned restoration works","Be aware, as per the venues website there is major restoration work on going.  Google translate of the website front page:  From 1/6/2022 to 30/9/2022 the imperial gardens of the Achilles Museum will be open to the public. Opening hours: daily: 8:00 - 20:00 Due to upgrading and restoration work, the interior of the Museum will remain closed. Read more here"
"July 10, 2022",2.0,Waste of time and money...,"Waste of time and 6 euros - The whole building is under major renovation with NO internal access of any kind. Waste of time driving all the way to see a scaffolding display. The gardens are not even fully open and it only takes 5 mins to walk around the part that is open, total rip off for 6 euros each - not recommended to visit."
"June 21, 2022",5.0,achillion palace,wonderful museum with impressive artifacts and decorations. early morning is recomended for a visit to avoid large groups.
"May 28, 2022",1.0,Website misleading......,"This was on our to do list while in Corfu and we checked out the website before making the drive there to make sure of opening times, etc. Told us it would be closed from 1 June to Sept, 2022 for refurbishment and that the gardens were open for visitors regardless. Sadly, both those statements were incorrect. Not only was the house already closed (had been for a while) but the gardens were also closed, so a wasted trip, annoyingly. Wish some of these places would get their info correct on their websites so wasted journeys are not made and time wasted! Judging by the numbers of cars there, plus people trying to get in - and coaches (!!) - it would appear we were not the only ones with a wasted trip...."
"May 5, 2022",5.0,Time machine,"We visited this villa several times - because one visit is not enough. It is a pity that there is no space for presentation and other stories besides this official one - the building used, during its history, as villa for noblemen, military hospital, orphan institution, casino and, an the end, - as museum."
"December 26, 2021",5.0,Beautiful Palace and Gardens,"Our final stop on our HAL tour was the village of Gastouri, where we visited Achilleion Palace, the mansion built by Empress Elisabeth of Austria and later owned by Kaiser Wilhelm II. It is wonderful inside and has beautiful gardens and statues. It was by far our most interesting stop on our tour.. The gardens are beautiful. The two most important statues are both of Achillies (Achillies in his prime and the dying Achllies). And there is a great view from the garden. The German sculptor Ernst Herter was commissioned to create works inspired from Greek mythology. His sculpture Dying Achilles, created in Berlin in 1884 as inscribed in the statue, forms the centrepiece of the Achilleion Gardens. German Kaiser Wilhelm II purchased Achilleion in 1907 and he commissioned his own Achilles statue from the sculptor Johannes Götz who created an imposing bronze sculpture that stands as guardian of the gardens, facing north toward the city."
"December 4, 2021",4.0,Visit in museum,This place doesn’t have a lot to offer. Outside the palace were some building works. Museum has a lot of history inside. It is great to see that people takie care of such kind things.
"November 17, 2021",3.0,Crowded,"This site does have lots of history, however we visited on a day with cruise ships and it was jammed pack inside. The outside is nice with feature statures and a somewhat view of Old Town. Displays are a bit tired and some with better descriptions. Museum is worn and tired. Only can view downstairs."
"November 16, 2021",1.0,Beware: Selling tickets though closed!,"When I arrived by public transportation, I was told it was closed. However, the website says it is open, and is selling tickets online. Also, the front of the entrance said it was open, and every Google search I did before arriving, including this one, said it was open as well. What a disappointment to see it closed. Had to wait two hours in the rain for the next bus back to Corfu. When I asked the front entrance employees why they don’t update their website to state it is closed, and noted how it is an inconvenience for people to make their way to the site, only to find it closed, then have to wait two hours for the next bus, I was told rather bluntly, “It’s not my problem.” No, it isn’t, but it’s a poor reflection of the way the place is being run…especially since it’s still selling tickets online! Good luck in getting your money back. The place doesn’t even deserve one star…and it’s still selling tickets online."
"November 3, 2021",5.0,Amazing view,"Did not know what to expect, walked there from our hotel and was surprised to see many coaches and lots of visitors. Vaccination certificate required to enter. Well worth a visit."
"October 27, 2021",2.0,Not really worth the entry fee,"So disappointed with our visit. Two adults, two teenagers & a 7yr old cost us €36. We were there for about 15min tops as all the top floors were closed and there really wasn’t much to see. All the nice items are actually posted on here😅. We drove 2km down a winding path for a lovely lunch near the water though, so probably plan for that first as many of the lunch places, besides basic sandwiches, are still closed."
"October 26, 2021",3.0,"Beautiful building and gardens, but a lack of information and lots closed off for the 10€ entry price","The palace itself is beautiful and grand, and you cannot view the outside fully without buying a ticket. It's wonderful to look at (despite the aging, which I like - I don't expect to see it as pristine as it originally would have been) but once inside only the bottom floor is open.  There is an information board outside, brief leaflets inside (they had no English ones left unfortunately, but plenty of other languages available), but limited information other than that. There are small plagues with brief descriptions near items, but they are vague and don't even have dates to know which period they are from. All in all, it doesn't take long to get around the bottom floor.  The gardens are beautiful and you get to see the statues of Achilles and a great view over to Corfu Old Town. Otherwise there is not much else to see in the whole place. Even if you can't see anymore inside, it'd be nice to be able to explore the grounds more as they head down toward the beach. There is building work being done so maybe they are planning on opening more of the building up to the public, but they should reduce the price in the meantime."
"October 25, 2021",3.0,A fading memory of better times,"The museum is small and not of much interest. The garden, however, is lovely. With the house, in need of some TLC, this is likely more of interest to ladies of a certain age. Don't take the kids."
"October 21, 2021",3.0,Great sight,"This is a palace build for the Austrian empress sisi. The entrance fee of 10 Euro giving u access to the ground floor of the mansion and the garden. It is a bit sad to see, that preservation works are not really gone that far, the mansion and the garden have seen better times."
"October 19, 2021",2.0,Very sad visit,"I have never seen a building in such a state of dilapidation . One is only aware that the building is being renovated when one arrives at the ticket office. The only floor which is open is the ground floor with very little explanation- the paintings have been taken off the walls and there is no indication which room is which. In fact Sissy only visited this summer house twice a year during eight years - just before she was unfortunately assassinated. The gardens and the exterior of the house are in a deplorable state and the only thing worth seeing is the view over to Corfu town, the famous ceiling in the hallway. and the statues of Achille. It is a real sad state of affairs that the Greek gouvernement can Allie this to happen."
