"October 30, 2022",5.0,Beautiful place to swim,"A beautiful area to visit that is easily accessible by car with free parking. We started with a walk up the cliffs to see the stunning views on offer which was wonderful. We then pitched up on the small beach and dived into the sea. We swam through the ‘tunnel of love’ and spent some time jumping into the water. We then spent some time snorkelling further out to sea. It was truly a stunning place to swim with the beautiful coves and cliffs. However, I wouldn’t recommend if you are planning on sunbathing as the beach is small and I would imagine it would get very overcrowded during peak season."
"October 28, 2022",4.0,Popular and stunning attraction.,Take the cliff path route to Canel D'Amour past restaurants commanding beautiful views over the little beaches and bays below. Great place to sunbath and watch the braver ones jump and dive from small cliffs into the blue waters below but have to admit i didnt attempt it myself.....too my birthdays.There is also a sheltered sandy beach which can become very crowded at times and just above this is outdoor restaurant with panoramic views while enjoying a meal or a cool drink.
"October 6, 2022",4.0,Nice area,"Lovely area, nice scenery and plenty of shops, restaurants and bars to choose from. Some parts (i.e. the small beaches) can get a bit crowded but it's nice for a leisurely stroll."
"October 5, 2022",5.0,Canal D'Mour,"It is a beautiful place to visit with nice restaurants with beautiful views of the sea, some nice shops and bars, if you are fit you can go looking over the hill a lot easier as I have limited mobility I was unable to go there but it looked wonderful, we had some lovely meals at he Sea Garden and the Marie Beach Hotel, also if you go onto the beach you can hire a boat"
"September 27, 2022",5.0,Stunning views,"Definitely a must to visit. We stayed in Sidari and walked . Which was a pleasant walk even in the heat . I would recommend suitable footwear for the rocks and climbing even though lots had flip flops on. Stunning views and great atmosphere. It’s very busy which is expected as soon popular , it’s a must even if it’s just to take in the whole experience and get great photos. Beach was very busy but people coming and going so was easy to get a space . Sea was lovely and great for swimming the mud is great also to put on you write your name in the mud wall. People were jumping from high heights (not for us) good to watch swim through the caves . We didn’t eat or drink there but a few places to eat and drink near. Lovely part of Sidari. People were having a great time."
"September 24, 2022",2.0,Crowded and not sure what all the fuss is about,Pleasant enough beach but very small and was crowded. There are much nicer beaches available by car.
"September 22, 2022",5.0,Fagins bar and restaurant,"Loved the Canal D'Amour its lively but quieter than the main strip. A nice ammount of bars and taverna's and a couple of shops. Visited Fagins every day for breakfast which was lovely, plenty of options and service was fabulous. Sharon was very friendly and attentive, however we did go for our evening meal a couple of times and it was a different story. The food was perfect but the host Donna was very unorganised and often got ours and other orders wrong or mixed up. She just didnt listen to the customer so it all became a bit of a lucky bag. Nothing like the morning service Im sorry to say."
"September 20, 2022",2.0,Small crowded beach - lots of litter,"Small crowded beach - lots of litter, no sunbeds of umbrellas as shown on some photos & nowhere to clean the sand off your feat."
"September 18, 2022",3.0,Disappointed,"Very busy through the day, staying in the area so visited late when crowds disappeared. No where near as romantic as described probably because of crowds and rubbish left behind."
"September 7, 2022",5.0,Beautiful,"Worth to visit. The litle cave gives the best view if You aproach from the see, after You swimm trought the canal. Big parking lot at the entrance, costs 5 euro/day."
"September 6, 2022",5.0,fantastic views,"very busy but worth it ,swim sunbathe put mud on your face and swim through the tunnel of love.lots of jumping off the rocks too"
"August 31, 2022",3.0,Canal dmour,Nice spot to view out at sea or grab a drink/swim/snack .once you've seen it I don't think you need to go back.there were people sunbathe but why I don't know.id rather be on a sunbed than a hard rock .
"August 31, 2022",5.0,Marvellous,"Stunning views, warm water. You can swim into the Dionisos cave or jump from a cliff. The beach is easily accessible."
"August 19, 2022",5.0,Definitely worth a visit,"Beautiful, best in the early morning before the crowds. Good selection of restaurants nearby, and other sandy coves. Orange cake at Aquarius Restaurant (Kanali hotel) highly recommend."
"August 15, 2022",2.0,Overrated waste of time,"What marketing and some touristy ad words can do is best seen here - Canal D'Amour,...wooow A stretch of limestone cliffs which eroded due to sea currents and waves and made a small bay. First of all, don't expect it looks like on the headline pic. In reality the water is murky and the whole area smelly. The beach is very small and overcrowded. As many others said, there's a lot of litter from visitors bringing food and drinks. The cape stretching out to the sea is nice for a pic, yet dangerous to walk on it. Despite a heavy heat I had no desire to swim there. I'd rather consider it a quick photo op if you have nothing else to do. We were staying in a hotel few kms away, but I wouldn't bother coming here from more remote areas on Corfu."
"August 9, 2022",4.0,"Interesting rock formation, shame about the litter!","This is an unique beach with interesting clay rock formations. From a distance it looks fabulous. On closer inspection, not so! The amount of rubbish in the surrounding area above the beach on the cliffs, and piled at the bottom of the steps of the tiny beach area, was shocking! What is it with visitors? Can't they take their rubbish back to the hotel with them? The water was however lovely and swimming through the cave area was exciting, however strongish swimmers only."
"August 6, 2022",5.0,Beautiful beach,"If you stay in Sidari, you must go to Canal D'Amour. You will not regret it. Enjoy a fruit salad and a ice coffee (frapi)."
"August 6, 2022",5.0,Canal D'Amour August 2022,"A lovely natural little formation of rock and sea. Situated just outside the main strip of Sidari, approx 800m, this rock formation provides an inlet of about 100m from the main coast line inland. At the foot there is a small beach accessed via a sharp drop in rock formation and steps. Swimming out to sea there is a little cave to swim through which is a unique experience.  Well worth a visit, and will fill an hour or two of your day. Consider combining this with other points of interest in the area to make a great day out."
"August 5, 2022",5.0,Lovely place but only for strong swimmers,"Great place lots of surrounding bars if you want a drink or food, several different little inlets and good access for all."
"July 20, 2022",5.0,Unique beach,"Beautiful coast line, that includes several beaches and the unique Cabal no Al D’amour. Very nice views. You could also spend time on the beach or at one of near by bars."
"July 20, 2022",5.0,Breathtaking!!,Love this beautiful place. Outstanding natural beuty perfect spot for photos! Definitely stop here if you are visiting Sidari.
"July 18, 2022",1.0,Not as good as the pictures,"We were really disappointed with this. The water looked really dirty, the access was very uneven and there was loads of litter stacked up that had not been removed. Would not race back here!"
"July 14, 2022",3.0,"Nice at sunset, don’t bother during the day","Nice to visit at sunset, we were staying nearby and would walk along the tops some evenings as the sunset is lovely. Not sure how it can even be classed as a beach as the beach is barely even big enough for 2 or 3 towels is just really a way to get into the water.  Hot and hard work in the day, lots and lots of groups on tours who leave all their rubbish around the too small bins. Often very windy and big waves when we were there which was nice to look at but wouldn’t risk swimming. Really scruffy around it derelict land, abandoned sun beds, rubbish etc seems such a shame.  Nice place to walk to in the evening but I would have been disappointed to tAke a trip to specifically visit."
"July 6, 2022",2.0,Don’t bother!,"Very disappointed, the smell gets you first from the dirty stagnant water , worse on a windy day! Litter was everywhere. Tiny beach . Much nicer places to visit in Corfu."
"June 25, 2022",1.0,It is a very cheap tiny place,"There are so many people trying to scramble into this very tiny space, it is just a joke. There are nasty touristic spaces that surrounds this vile place with many dubious people around."
"June 23, 2022",5.0,Well worth visiting,"Great natural rock formation slowly being eaten away by gentle wave action. It wasn't too busy when we visited, so no need to plan your visit. Although the beach is tiny, most visitors tend to sit high up on the rocks at the side. Definitely take the opportunity to swim in the sea, making sure you swim though the tunnel through the rock which is only about 30 metres long. Look back at the rock formation when in the tunnel! It is possible to swim out to sea and round the headland to re-entre the bay. I was warned the tide was strong here, but that wasn't my experience. It is also a great place to watch sunset. It's a free visitor attraction which is rare, so make the most of it. Some layers in the rock are soft clay-like substance. I'm told rubbing it on your face and letting it dry, takes years off you - I'll let others judge if it has!"
"June 18, 2022",5.0,True beauty,Absolutely beautiful views and definitely worth a visit! I would recommend sensible footwear as the best views are achieved by a bit of climbing over rocks. There is a beach where you can swim and places to dive from as well
