"December 15, 2022",4.0,Fantastic and lots to do,Fantastic time and lots to do and shopping if you want to food very good .and you can get the green bus from the bus stop or get a boat trip to kassiopi as I did to old town lovely holiday
"December 5, 2022",5.0,"small streets, great charm","A walk in the town, even with no expectation, reveals splendor and charm of venetian buildings and Greek spirit."
"November 24, 2022",4.0,Charming,"Since we did a tour from our ship, the Old Town was combined with several other activities. We had very little time to visit the sites and check out the shops, let along grab something for lunch. From the short time that we spent here, we thought it was very charming. A couple of the shops that I did enter had very good quality clothing. Local touristy shops were there as well. I wish that we could have spent more time here. If we return, we will skip the tours and spend time here or at one of the beautiful beaches in the area."
"November 13, 2022",5.0,Masterpiece,Pure old fashioned beauty It was my 3rd time at this lovely place I love Corfu Local people are so so kind Thank you
"November 7, 2022",5.0,More than meets the eye,"Such a quaint, cobblestoned narrow bunch of alleyways through which to wander and buy all those trinkets, seasonings, and t-shirts that we really, really (yeah, right?) needed to buy before leaving. So, it is charming and every bit a Venetian style plaza with lots of churches, historic buildings, and charm we hoped to find in Corfu.  But look behind the veneer and poke about a bit to discover the ""why"" as to how it is laid out. The Old Town housed the people in Medieval Ages and the 2 fortifications (castles) really do border the two sides of the village and, thus, would have protected it from pirates and Ottomans. To its credit, the Old Town was never conquered by the Ottomans.  Today it is a UNESCO World Heritage Site and its architecture reflects 400 years of Venetian rule. The very narrow Middle Ages lanes are paved with cobblestones which today host a plethora of shops of every ilk.  The two fortresses )old and new) flank the city's waterfront boundaries and it is sometimes called ""Castle City"" because of its two castles (fortresses) and maybe for the tunnels that supposedly run below the streets and connect the ""castles."""
"October 24, 2022",5.0,NICE SHOPPING EXPERIENCE,Travelled to the town of Corfu in the afternoon by private transfer. Very pretty town especially the actual old town which is best seen in the evening when it is lit up with vubrant shops and stalls. We found the people very friendly and the shopkeepers are polite and pay actual attention and interest to you. Goods purchased are wrapped up in a totally professional manner and overall a pretty special shopping experience in an attractive town overshadowed by an imposing castle.
"October 23, 2022",5.0,Delightful Visit,We travelled in on town by the #7 blue bus to the main stop and walked up through the town to the old castle surrounded by lively cafes and shops
"October 17, 2022",5.0,Amazing old town Corfu,"Corfu old town. Super friendly happy place with lots of everything. Restaurants, clothes, nicknacks. Look out for the one off salt & pepper pots. You will know them when you see them. Amazing design. Never seen anywhere else. 15 euros."
"October 11, 2022",5.0,beautiful old town,"last time i visited here was in 1981 so much has changed now ,but its excellent in the facat its serving tourists ,very busy place all day and night,very quaint down the old cobbled streets there where you can find an abundance of shops and cafes /restaurants ,giving a variety of souvenirs from the locals and pleasant food ,sunday they were playing cricket on the green there so nice to see they have kept the british tradition on after all the years since i went .people so friendly .so glad i came back to see the old town ."
"October 3, 2022",2.0,Narrow streets,"Narrow streets and lots of shops in a small area, with some nice larger spaces near the forts. Has very poor drainage as we found out on a day when it rained heavily. The main bus station is quite a walk from drop off points. Its shown as 400m from city centre but is not clearly sign posted. Bus station is a free for all with no queueing system."
"September 27, 2022",5.0,Enchanting,"Picturesque, perfect spot for browsing, shopping and eating.. Loved it especially in the evening.. A must do if you visit the gorgeous island of Corfu!"
"September 25, 2022",1.0,Pavement beware,Wife slipped and fractured her ankle on Tuesday (20th September). Beautiful town but please beware of slippery pavements.
"September 17, 2022",5.0,Old town,Got a hire car so we went into corfu town for the day. Just really love the old town lots of shops taverna side street cafes. And getting lost walking around. Stopped and had doughnuts (massive) lol. The old n new fortresses are great. Just love visiting Greek towns.
"September 11, 2022",5.0,Just one of the best locations for everything!,"It is now the 5th time that I've visited Corfu old Town and it is so amazing to see the ancient town and then the lovely rows of tavernas, bars and shops (yes real shops) with clothes that you could wear on the beach or for weddings - it has something for everybody. Each time I treat myself to a new outfit and know that I will have this noticed as being a unique addition to my wardrobe - thank you Corfu!"
"September 3, 2022",5.0,Corfu town tout,"I liked the tour around Corfu town. I didn’t want to rent a car, so this allowed me to see some of the high spots in Corfu at my leisure. The taped presentation on this bus is helpful too."
