"September 24, 2022",50,Great place for lunch & Dinner,"As always, Hard Rock Cafe is wonderful place - food, music and atmosphere. Staff were very nice and food very good . Don’t miss it."
"September 21, 2022",40,Iconic Hard Rock Cafe,Book in advance via Open table otherwise you’ll be waiting in a long queue. Usual huge portions. It was my daughters birthday so she was sang to and given a ice cream sundae.
"September 11, 2022",50,Hard Rock always deliver!,"A place for very good cocktails and nice finger foods. This time I had cocktails and chicken wings and it was great, as usual. It was quick and friendly service in a cosy atmosphere with soft, rock music, in a pleasant sound level. Great!"
"July 31, 2022",50,Great food and service!,"There were a lot of people in line, but the wait goes quickly. The gift shop has lots of fun things to see, too. Our meal was delicious, and our service was very good!"
"July 31, 2022",50,Outstanding service from Racquel,"Our table waitress was outstanding, her name was Racquel and was so enthusiastic and interested in our trip from the UK. She couldn’t have done more for us. Would happily recommend this restaurant- and look forward to returning."
"July 21, 2022",30,Food wasn't good!!,Usually love a Hard Rock but the food was disappointing. Our waitress took our order and that was the last we saw of her until it came time for the check. Way too many other places to eat in NYC
"June 24, 2022",30,Meh,"Very mediocre food, we got stuck with here as we didn’t book and there was a post theatre rush - would maybe just pop in for drinks if you’re wanting to look at memorabilia"
"June 19, 2022",10,Disgusting - rude - do NOT book for groups you’ll miss your next event.,Group reservation - pre-ordered entrees - 1 he 15 to get food. No manager - waitstaff rude laughed at us when we asked for help. Good disgusting and overpriced. Do NOT spend your money there!!!
"June 15, 2022",50,Burger,"I am not the biggest fan of the Hard Rock Cafe chain, but wanted to stop here in New York. Service was friendly, quick, prices are ok and I think we had here the best burger we tried in NY :))"
"April 27, 2022",50,Iconic Restaurant,"Great location on Times Square , food good, but you really go there for the atmosphere and iconic music displays"
"September 24, 2022",50,Great place for lunch & Dinner,"As always, Hard Rock Cafe is wonderful place - food, music and atmosphere. Staff were very nice and food very good . Don’t miss it."
"September 21, 2022",40,Iconic Hard Rock Cafe,Book in advance via Open table otherwise you’ll be waiting in a long queue. Usual huge portions. It was my daughters birthday so she was sang to and given a ice cream sundae.
"September 11, 2022",50,Hard Rock always deliver!,"A place for very good cocktails and nice finger foods. This time I had cocktails and chicken wings and it was great, as usual. It was quick and friendly service in a cosy atmosphere with soft, rock music, in a pleasant sound level. Great!"
"July 31, 2022",50,Great food and service!,"There were a lot of people in line, but the wait goes quickly. The gift shop has lots of fun things to see, too. Our meal was delicious, and our service was very good!"
