"August 25, 2022",50,Excellent lunch before ruins,"Delicious hot homemade bread, dolmades, gyros and Greek salad. Excellent friendly service. Thank you so much!"
"August 3, 2022",10,Bad food.,"All food was refrigereted and heated before serving. When the bill came, they've put 1 euro more at every price and also billed the water and bread we didn't ask for (not bread with anything, just plain bread)"
"October 7, 2021",40,Ideal location close to the exit of the Ancient Corinth site,"Very close to the exit of the Ancient Corinth site, with a good range of traditional Greek dishes. Reasonably priced and friendly staff."
"September 17, 2021",50,Great view to see the ruins ams wonderful food in Corinth.,Outstanding restaurant! Our tour driver recommended the restaurant and we were not disappointed. Highly recommended sit on the terrace. Eggplant was amazing as was their baked feta with spices and red wine. Definitely try this restaurant.
"February 19, 2020",50,"Great food, amazing view",We enjoyed a nice variety of delicious Greek food while enjoying the view of ancient Corinth from the terrace. Great!
"September 12, 2019",50,Great food and view of ancient corinth,We had awesome food and great service here while sitting on the veranda. The complimentary grapes after our meal was a nice touch.
"September 6, 2019",50,A nice place with good food,"After visiting the Acropolis of Corinth we went back to eat on this terrace where the Acropolis is seen. Very friendly staff, the food portions are great and the prices are very good.We will come back with pleasure. Dan from Romania"
"June 15, 2019",40,Great View of the Arcaeological site,"Not my favorite food, but good. I enjoyed sitting on the terrace at the back and eating while looking at the archaeological site when the sun is going down."
"February 11, 2019",50,Fantastic,"Fantastic, great food, super great personal, good price and the best orange juice ever! We can warmly recommend this restaurant. /the Gothenburgs, Sweden"
"August 23, 2018",50,Lunch to Remember,"Our taxi driver knew we wanted lunch so he dropped us off and bid us bon appetit. The food was delicious and fresh, portions huge, service friendly and relaxed, prices fair and atmosphere small town family. It was amazing."
"August 18, 2018",40,Informal and good,"Good for a brief stop and a quick lunch based on local ""fast food"" such as the Greek salad or the gyros pita. Multilingual service, rather quick also for groups. Very close to the site."
"August 6, 2018",50,Hospitality,They offer traditional Greek fare and excellent prices and fast service. Xorta is something I remember as being fresh picked and super flavorful.
"July 16, 2018",40,"Good food, great view","Good food, and very fresh. Restaurant also has a veranda in the back with a wonderful view of the archaeological sight. Best watermelon I've ever had!"
"May 10, 2018",40,"Tasty, honest Greek food","Popped in for late lunch after a long day visiting Old Corinth, well worth the visit. Generous portions, tasty food, reasonable prices, kind staff - they have the whole package. Highly recommend!"
"April 29, 2018",40,View of the Apollo temple and Gyros,"This restaurant has a very nice rooftop terrace with perfect views of the Ruins. The owners are very friendly, the gyros and Tzaziki was tasty and we were served olives and oranges wit cinnamon on the house. Very much appreciated."
"January 21, 2018",50,"Fab, authentic meal",Authentic and plentiful meal in terrific and interesting decor (we ate indoors). Homegrown complimentary olives and oranges. Helpful and convivial host. Would go there again and again!
"November 28, 2017",30,Not the best GYRO,Frankly we ended up there because the neighboring restaurant which we like in Corinth was closed. We had gyro platters which were chewy and fatty.
"July 13, 2017",50,"Awesome staff and food - the owner, Nick, is a great guy!","We loved eating at Gemelos, it was a really friendly and relaxed atmosphere and the food was awesome. Thank you for your hospitality - from your two crazy British cycling friends, Ewan and Katie"
"July 9, 2017",50,Excellent Souvlaki with a wonderful view of ther ruins.,"Pleasant , hospitable staff, great food. Interesting and nice red house wine. Really good value for money."
"May 30, 2017",40,Good Greek food and atmosphere,"On the edge of ancient Corinth. Took owners recommendation of trying wide range of dishes. Good service, good food, good atmosphere."
"January 31, 2017",50,History comes to life,The view of ancient Corinth was simplest Awsome. The service and the food were excellent. The owner remembered us from last year. Great experience.
"May 3, 2016",20,Be careful,"We had moussaka and lamb recommended by the owner and it was really poor quality, moussaka tasted like frozen food from microwave and lamb was just bones and fat with no meat. Would not recommend this place to anyone"
"April 20, 2016",40,"Friendly service, welcomes Vegans even though it is not a Veggie Tavern","The Vegan choices were few, but what we got was great. Real fresh local Tomatoes stuffed with a rice & herbs mix (And for my sake no onion)"
"April 8, 2016",50,"Well-priced, nice setting, friendly staff!","The menu was full of photos, which made it easy on these Americans. The food was great, well-priced, nice setting."
"October 13, 2015",40,"Very nice food, lovely staff and honest prices","We had dinner. We had starters, salad and mains all traditional food and we loved it all. You can have a proper dinner for 2 at 30€. Free wifi. The owner was very kind."
"August 9, 2015",40,Restaurant with a View,The terrace is perfect to enjoy the view of the archaeological site and the food is quite good. Although the temperature was around 40C up there it was wonderful.
"September 8, 2014",50,Best view in Greece!,"This is a very nice family style Greek Raverna. Good food and plentiful company, it is right on the main street of Ancient Corinth, just outside the exit from the grounds of the Temple of Apollo. There is a veranda on the third level with a stunning view of all of the ruins, including the Temple and the Lechaion Road, as well as the pubic Baths of the site. Without fail you MUST find a reason to use the men's bathrooms on the median level. Inside there is a small widow, as there is in many of these places. Look out of that.....and you see the entirety of the ruins and the south Stoa! It is spectacular.  We went several times and now the owner says we have to come back and stay at his house on our next trip! It is Greek hospitality at it;s friendliest."
"August 19, 2014",50,What a view - the highlight of our trip,Go hear and have lunch on the terrace overlooking the ruins of Ancient Corinth - you will not be disappointed. You get a bird's eye view so can save on the entrance fee to the ruins (thus making lunch a bargain). They do a great set lunch full of Greek delicacies - loads of courses all for 12 euros. It really is worth coming here!
