"August 16, 2022",50,Amazing experience. A must in corfu.,Amazing food. Amazing service. Amazing wine. Beautiful place to eat. It was such a pleasant surprise. You go through little allays and then you find this beautiful garden in a square.
"August 17, 2022",50,a night to remember,"Unmatched location, great service, imaginative dishes. A night to remember. Get a table outside and enjoy...you'll like it. I correct myself, you'll love it."
"August 13, 2022",50,"Delicious, interesting and accomplished food with great service",All the positive things said below match our own experience. Would add that sommelier recommended an excellent Greek wine well within the medium price range I stipulated. Will definitely return.
"August 2, 2022",10,Bad Service!,the lady who attended us has no experience to manage such a space. she placed 8 people at tables of 6 and six at tables of eight.
"August 1, 2022",50,Excellent meal,A fine dining twist on traditional Greek cuisine. Beautiful setting in a lovely square just off the main touristic streets. Great service and food quality. Highly recommended.
"July 15, 2022",50,Delicious,"We had a wonderful evening, the service and greeting and food was all top notch. It’s been a very special evening, one of the best places to eat in Corfu no doubt about that! Thank you!"
"May 30, 2022",50,Memorable meal in beautiful setting,Thoroughly enjoyed every last morsel of this fabulous meal. Delicious and imaginative menu presented so beautifully. Lots of little ‘extras’ between courses. Sommelier recommended a delicious rose. Perfect service. It was a gorgeous night out. 💙🇬🇷💙
"May 22, 2022",50,Amazing food! Amazing service!,"Highly recommend this restaurant, the food was incredible but the service made it 10x better, everyone was very attentive and friendly, a special thank you to Alexandros who made us feel very welcome. The place to go if you’re in Corfu!"
"May 18, 2022",50,Very nice restaurant,"It's a very nice restaurant in the heart of Kerkyra,we've been here 3 times,good food, friendly owners"
"November 11, 2021",50,Deserves even 2 Michelin Stars! The sommelier ist just perfect...,"Amazing location, a sommelier with perfect know-how; nice presentation of excellent/innovative dishes! Amazing👏👏"
"October 15, 2021",40,"Very nice, very pricey","We ate here and it was very good, but not for those short of cash. Be prepared to spend at least €80 per person. Haute cuisine."
"September 18, 2021",50,10/10,10/10 restaurant. Vibe is so chilled. Food is unreal. Drinks took ages so order early and pre book as quite busy. Would recommend the dessert
"September 14, 2021",20,Birthday meal,"So disappointed! My son organised a meal for 3 . Table was booked for 21:30, we were eventually seated at 22:10 our taxi was booked to take us back to Kalami at 23:30. Food was good , service was terrible , will not return"
"September 9, 2021",50,Superb!,"Really good!! Excellent service, wine and cocktails. We booked last minute so sat inside which lacked the atmosphere outside had. They accommodated vegetarian taster menu however main could have been slightly more flavoursome - all other courses were superb!!! Definitely recommend and go back"
"August 23, 2021",50,A Stellar Restaurant..,"We went here as a couple for a romantic dinner and it delivered us far and beyond . The food, the service even the music. Phenomenal there is nothing more to say, only to eat, see and enjoy !"
"August 22, 2021",50,What a dream our night here was!,From start to finish our experience was fantastic as we celebrated our anniversary . Absolutely by far the best restaurant and service we had in quit a while ! Already made a booking for my second visit.
"August 16, 2021",50,Lived up to expectations!,We were told by friends that this was the best restaurant in Corfu and they were definitely right! The food was amazing.
"August 6, 2021",50,Amazing dinner,"We had the most amazing dinner at the Venetian Well, Ari and Dimitea were wonderful and accommodating"
"July 27, 2021",50,A unique experience,"A unique experience worth living who is on the island of Corfu!The quality of the dishes was excellent, the place was wonderful and the service and the reception was more than perfect! Many congratulations!"
"July 23, 2021",50,A must visit! Excellent restaurant,This restaurant is a must visit!! The overall experience is unique. The food and the service are excellent. The black orzo from the main dishes was the highlight.
"July 20, 2021",50,IT’S A MUST,"Food is delicious, the place is magical. The only thing I know is that you can’t leave the island without spending an evening there. The girl in welcoming area was very friendly and helpful. Loved it!❤️"
"July 14, 2021",50,Best dinner ever!,"Amazing service, fantastic food and a cozy place in the middle the old town! Perfect place to relax and talk Best restaurant in corfu! Its worth the money"
"July 10, 2021",20,"great vibe and ambiance, but terrible food",Go to Pomo d'Oro instead the food here was terrible. One meal tasted like sour water. Shame we were expecting better. We had excellent food in Greece overall though.
"October 10, 2020",50,Mr Allan Iveson,"Having traveled the World I can only give this restaurant five stars !!! Outstanding !!! The Setting , The Staff , The food !!"
"September 30, 2020",50,Amazing Special Evening,"We visited this restaurant based on many many recommendations from other people so it had a lot to live up to but it completely delivered! The food is delicious, perfectly proportioned and the service is friendly and warm. Would go back on a heartbeat."
"September 28, 2020",50,Excellent restaurant for a special occasion,"Took my wife here for her birthday dinner and was not disappointed. Excellent service and the food was superb. The whole experience was wonderful. Lovely location, there are stairs to be negotiated."
"September 28, 2020",50,Perfection,"If you can actually find it, this must not be missed. Stunning food, service and wine. It is a magical, peaceful place in the middle of a busy town. I would travel to Corfu just to eat here."
"September 16, 2020",10,Wouldn’t book during pandemic,"This restaurant took a 60 euro deposit from me, only to email me the day before our booking to say the restaurant is closed. I am yet to receive a refund."
"September 10, 2020",40,Romantic Dinner,The location is excellent. The service was flawless and professinal. The Sommelier is professional and outstanding. The food was excellent together with wine pairing . It took to another level. It is value for money. I fully recommend it.
"August 12, 2020",50,Awesome night out,Beautiful courtyard setting with great food and wine. The staff was very pleasant and knowledgeable and went out fo their way to make us feel welcome.
"August 11, 2020",50,Amazing food coupled with amazing service.,"Me and my fiancé came from london to eat here but unfortunately failed to book a reservation, the lovely staff offered us a table inside and continued to provide excellent service throughout. The food was also exquisite."
"August 11, 2020",50,Excellent food,Great dining restaurant located in a great place. The food is absolutely delicious!! Excellent wine list and excellent service!
